Rol,Seniority,p50,Confianza,Dolarización
Consultant,Junior,1396675.7579159085,Baja,No dolarizado
AI Engineer,Senior,5530887.236807902,Baja,Dolarizado
Networking,Semi-Senior,1132635.8201195737,Baja,Dolarizado
AI Engineer,Junior,4686280.705744736,Baja,Dolarizado
Storage / Backup,Senior,2435167.0132570835,Alta,Dolarizado
VP / C-Level,Junior,3172512.932154926,Alta,No dolarizado
Recruiter,Junior,3143578.051176241,Baja,Dolarizado
Scrum Master,Junior,2497461.98336366,Baja,No dolarizado
Staff Engineer,Senior,5946338.055627761,Baja,Dolarizado
